"","age","total","male","female","district"
"2315",92,257,68,189,"平野"
"2316",93,243,41,202,"平野"
"2317",94,226,43,183,"平野"
"2318",95,144,13,131,"平野"
"2319",96,83,15,68,"平野"
"2320",97,65,5,60,"平野"
"2321",98,69,16,53,"平野"
"2322",99,34,3,31,"平野"
"2323",100,101,16,85,"平野"
"2324",0,527,290,237,"西成"
"2325",1,509,247,262,"西成"
"2326",2,487,259,228,"西成"
"2327",3,586,298,288,"西成"
"2328",4,514,263,251,"西成"
"2329",5,563,287,276,"西成"
"2330",6,569,300,269,"西成"
"2331",7,560,292,268,"西成"
"2332",8,524,275,249,"西成"
"2333",9,564,304,260,"西成"
"2334",10,550,283,267,"西成"
"2335",11,594,302,292,"西成"
"2336",12,604,344,260,"西成"
"2337",13,621,326,295,"西成"
"2338",14,633,314,319,"西成"
"2339",15,643,348,295,"西成"
"2340",16,676,332,344,"西成"
"2341",17,708,354,354,"西成"
"2342",18,710,378,332,"西成"
"2343",19,814,420,394,"西成"
"2344",20,865,462,403,"西成"
"2345",21,783,409,374,"西成"
"2346",22,920,511,409,"西成"
"2347",23,942,474,468,"西成"
"2348",24,946,508,438,"西成"
"2349",25,888,519,369,"西成"
"2350",26,968,535,433,"西成"
"2351",27,966,534,432,"西成"
"2352",28,1001,512,489,"西成"
"2353",29,946,506,440,"西成"
"2354",30,988,577,411,"西成"
"2355",31,925,513,412,"西成"
"2356",32,923,496,427,"西成"
"2357",33,964,529,435,"西成"
"2358",34,1072,576,496,"西成"
"2359",35,977,532,445,"西成"
"2360",36,1066,611,455,"西成"
"2361",37,1048,545,503,"西成"
"2362",38,1148,600,548,"西成"
"2363",39,1298,745,553,"西成"
"2364",40,1418,812,606,"西成"
"2365",41,1601,886,715,"西成"
"2366",42,1475,837,638,"西成"
"2367",43,1470,817,653,"西成"
"2368",44,1458,830,628,"西成"
"2369",45,1542,933,609,"西成"
"2370",46,1514,894,620,"西成"
"2371",47,1487,871,616,"西成"
"2372",48,1323,812,511,"西成"
"2373",49,1540,925,615,"西成"
"2374",50,1438,870,568,"西成"
"2375",51,1450,912,538,"西成"
"2376",52,1315,775,540,"西成"
"2377",53,1366,844,522,"西成"
"2378",54,1341,856,485,"西成"
"2379",55,1388,910,478,"西成"
"2380",56,1348,871,477,"西成"
"2381",57,1416,901,515,"西成"
"2382",58,1535,1010,525,"西成"
"2383",59,1625,1108,517,"西成"
"2384",60,1774,1233,541,"西成"
"2385",61,2034,1405,629,"西成"
"2386",62,2085,1416,669,"西成"
"2387",63,2317,1591,726,"西成"
"2388",64,2791,1952,839,"西成"
"2389",65,2872,1960,912,"西成"
"2390",66,2895,2010,885,"西成"
"2391",67,2925,1983,942,"西成"
"2392",68,1860,1300,560,"西成"
"2393",69,2120,1436,684,"西成"
"2394",70,2519,1666,853,"西成"
"2395",71,2461,1647,814,"西成"
"2396",72,2559,1656,903,"西成"
"2397",73,2565,1712,853,"西成"
"2398",74,2286,1454,832,"西成"
"2399",75,1846,1138,708,"西成"
"2400",76,1948,1162,786,"西成"
"2401",77,1906,1102,804,"西成"
"2402",78,1854,1082,772,"西成"
"2403",79,1754,1002,752,"西成"
"2404",80,1403,761,642,"西成"
"2405",81,1363,738,625,"西成"
"2406",82,1185,583,602,"西成"
"2407",83,997,457,540,"西成"
"2408",84,834,325,509,"西成"
"2409",85,753,328,425,"西成"
"2410",86,721,292,429,"西成"
"2411",87,535,219,316,"西成"
"2412",88,527,192,335,"西成"
"2413",89,345,85,260,"西成"
"2414",90,316,81,235,"西成"
"2415",91,256,56,200,"西成"
"2416",92,225,37,188,"西成"
"2417",93,165,51,114,"西成"
"2418",94,129,21,108,"西成"
"2419",95,105,23,82,"西成"
"2420",96,79,9,70,"西成"
"2421",97,58,21,37,"西成"
"2422",98,57,11,46,"西成"
"2423",99,34,2,32,"西成"
"2424",100,61,0,61,"西成"
